 * Running on http://0.0.0.0:5000/ (Press CTRL+C to quit)
67.163.5.101 - - [24/Apr/2018 04:48:51] "POST /postscore?score=250&username=I%20ATE%20BAD%20FRUIT HTTP/1.1" 200 -
67.163.5.101 - - [24/Apr/2018 04:49:02] "GET /players? HTTP/1.1" 200 -
67.163.5.101 - - [24/Apr/2018 04:49:19] "GET /player?user=I+ATE+BAD+FRUIT HTTP/1.1" 200 -
67.163.5.101 - - [24/Apr/2018 04:49:25] "GET /players HTTP/1.1" 200 -
67.163.5.101 - - [24/Apr/2018 04:49:29] "GET /player?user=i+ate+bad+fruit HTTP/1.1" 200 -
67.163.5.101 - - [24/Apr/2018 04:49:33] "GET /player?user=I+ATE+BAD+FRUIT HTTP/1.1" 200 -
67.163.5.101 - - [24/Apr/2018 04:49:42] "GET /player?user=I+ATE+BAD+FRUIT HTTP/1.1" 200 -
67.163.5.101 - - [24/Apr/2018 04:57:13] "POST /postscore?score=2100&username=THE%20HIGHEST%20SCORE%20WOW HTTP/1.1" 200 -
67.163.5.101 - - [24/Apr/2018 04:57:15] "GET /players? HTTP/1.1" 200 -
67.163.5.101 - - [24/Apr/2018 04:57:23] "GET /player?user=THE+HIGHEST+SCORE+WOW HTTP/1.1" 200 -
67.163.5.101 - - [24/Apr/2018 04:57:28] "GET /players HTTP/1.1" 200 -
67.163.5.101 - - [24/Apr/2018 04:57:33] "GET /player?user=the+highest+score+wow HTTP/1.1" 200 -
67.163.5.101 - - [24/Apr/2018 04:57:35] "GET /players HTTP/1.1" 200 -
67.163.5.101 - - [24/Apr/2018 04:57:37] "GET /players HTTP/1.1" 200 -
67.163.5.101 - - [24/Apr/2018 04:57:42] "GET /players? HTTP/1.1" 200 -
67.163.5.101 - - [24/Apr/2018 05:01:18] "GET / HTTP/1.1" 200 -
67.163.5.101 - - [24/Apr/2018 05:01:22] "GET / HTTP/1.1" 200 -
67.163.5.101 - - [24/Apr/2018 05:01:22] "GET /index.css HTTP/1.1" 200 -
67.163.5.101 - - [24/Apr/2018 05:01:22] "GET /snake/snake.js HTTP/1.1" 200 -
67.163.5.101 - - [24/Apr/2018 05:01:23] "GET /snake/scoreboard.js HTTP/1.1" 200 -
67.163.5.101 - - [24/Apr/2018 05:01:23] "GET /favicon.ico HTTP/1.1" 404 -
66.102.6.72 - - [24/Apr/2018 05:07:21] "GET / HTTP/1.1" 200 -
66.102.6.68 - - [24/Apr/2018 05:07:21] "GET /favicon.ico HTTP/1.1" 404 -
67.163.5.101 - - [24/Apr/2018 05:07:28] "POST /postscore?score=1300&username=XQC HTTP/1.1" 200 -
67.163.5.101 - - [24/Apr/2018 05:07:31] "GET /players? HTTP/1.1" 200 -
67.163.5.101 - - [24/Apr/2018 05:08:33] "GET /postScore?username=CHEATING&score=696969696 HTTP/1.1" 404 -
67.163.5.101 - - [24/Apr/2018 05:08:46] "GET /players? HTTP/1.1" 200 -
67.163.5.101 - - [24/Apr/2018 05:08:57] "GET /about HTTP/1.1" 200 -
196.52.43.126 - - [24/Apr/2018 05:32:14] "GET / HTTP/1.0" 200 -
67.163.5.101 - - [24/Apr/2018 05:33:09] "POST /postscore?score=100&username=IM%20VERY%20GOOD%20AT%20GAMES HTTP/1.1" 200 -
67.163.5.101 - - [24/Apr/2018 05:33:18] "GET /players? HTTP/1.1" 200 -
67.163.5.101 - - [24/Apr/2018 05:33:35] "GET /players HTTP/1.1" 200 -
67.163.5.101 - - [24/Apr/2018 05:33:55] "POST /postscore?score=0&username=IMSOBAD HTTP/1.1" 200 -
67.163.5.101 - - [24/Apr/2018 05:33:55] "GET /players? HTTP/1.1" 200 -
67.163.5.101 - - [24/Apr/2018 05:34:06] "GET /player?user=im+very+good+at+games HTTP/1.1" 200 -
67.163.5.101 - - [24/Apr/2018 05:34:14] "GET /player?user=im+bad HTTP/1.1" 200 -
67.163.5.101 - - [24/Apr/2018 05:34:18] "GET /player?user=imsobad HTTP/1.1" 200 -
67.163.5.101 - - [24/Apr/2018 05:34:26] "GET /player?user=imsobad HTTP/1.1" 200 -
67.163.5.101 - - [24/Apr/2018 05:34:29] "GET /player?user=chad HTTP/1.1" 200 -
67.163.5.101 - - [24/Apr/2018 05:34:33] "GET /player?user=chris HTTP/1.1" 200 -
67.163.5.101 - - [24/Apr/2018 05:34:35] "GET /players HTTP/1.1" 200 -
67.163.5.101 - - [24/Apr/2018 05:34:40] "GET /player?user=XQC HTTP/1.1" 200 -
166.175.59.217 - - [24/Apr/2018 05:43:14] "GET / HTTP/1.1" 200 -
166.175.59.217 - - [24/Apr/2018 05:43:15] "GET /index.css HTTP/1.1" 200 -
166.175.59.217 - - [24/Apr/2018 05:43:15] "GET /snake/snake.js HTTP/1.1" 200 -
166.175.59.217 - - [24/Apr/2018 05:43:15] "GET /snake/scoreboard.js HTTP/1.1" 200 -
166.175.59.217 - - [24/Apr/2018 05:43:16] "GET /favicon.ico HTTP/1.1" 404 -
166.175.59.217 - - [24/Apr/2018 05:43:55] "POST /postscore?score=0&username=playing%20snaku HTTP/1.1" 200 -
166.175.59.217 - - [24/Apr/2018 05:43:59] "POST /postscore?score=0&username=playing%20snaku HTTP/1.1" 200 -
166.175.59.217 - - [24/Apr/2018 05:44:03] "POST /postscore?score=0&username=playing%20snaku HTTP/1.1" 200 -
166.175.59.217 - - [24/Apr/2018 05:44:05] "GET /players HTTP/1.1" 200 -
174.231.3.208 - - [24/Apr/2018 05:45:50] "GET / HTTP/1.1" 200 -
174.231.3.208 - - [24/Apr/2018 05:45:50] "GET /index.css HTTP/1.1" 200 -
174.231.3.208 - - [24/Apr/2018 05:45:50] "GET /snake/snake.js HTTP/1.1" 200 -
174.231.3.208 - - [24/Apr/2018 05:45:50] "GET /snake/scoreboard.js HTTP/1.1" 200 -
174.231.3.208 - - [24/Apr/2018 05:45:51] "GET /favicon.ico HTTP/1.1" 404 -
174.231.3.208 - - [24/Apr/2018 05:46:01] "POST /postscore?score=0&username= HTTP/1.1" 200 -
174.231.3.208 - - [24/Apr/2018 05:46:04] "GET /players? HTTP/1.1" 200 -
174.231.3.208 - - [24/Apr/2018 05:46:51] "GET /about HTTP/1.1" 200 -
174.231.3.208 - - [24/Apr/2018 05:46:54] "GET /players HTTP/1.1" 200 -
